"Data";"Ora";"Minuti";"Argomenti";"Durata (min.)";"Luogo";"Tenuto da altri"
"22/02/2022";"09";"00";"Introduzione al corso";"180";"Lab2";""
"24/02/2022";"12";"00";"Valutazione finale.Costruire software";"120";"Lab2";""
"01/03/2022";"09";"00";"Costruire software: Indicazioni sul processo di produzione.Il primo caso di studio:RadarSystem";"180";"Lab2";""
"03/03/2022";"12";"00";"WorkspaceSetup. Primi esperimenti su RaspberryPi ";"120";"Lab2";""
"08/03/2022";"09";"00";"Possibili strategie per la soluzione del requisito ledAlarm: modifica/specializzazione/estensione di codice esistente, copia di codice e modifica della copia, composizione delle parti (pipe): si veda Se non fosse distribuito ….Discussione sulle diverse strategie e delle soluzioni inviate da alcuni studenti.Analisi del problema RadarSystemPresentazione di primi possibili prodotti della analisi del problema RadarSystem:definizione delle interfacce per i componenti (intesi come DigitalTwins)impostazione di una Architettura logica del sistema (si veda architettura logica)";"180";"Lab2";""
"10/03/2022";"12";"00";"Impostazione del progetto it.unibo.radarSystem22.domainDefinizione di un piano di lavoro che include l'idea di implementare:dispositivi mock e concreti,piani di testing e test units,enabler di comunicazione,oggetti standard per la comunicazione.Sprint1: progettazione e sviluppo dei componenti del dominio.Il LedMock e una sua TestUnit.Il LedModel come classe astratta che viene specializzata da LedMock e LedConcrete.DeviceFactory e file di configurazione DomainSystemConfig.json.Discussione su come impostare un SonarMock che implementa l'interfaccia ISonar.";"120";"Lab2";""
"15/03/2022";"09";"00";"Completamento dello Sprint1:Il SonarMock come specializzazione di una classe astratta SonarModel e una sua TestUnit.Il SonarConcrete come componente che riusa il core-code Sonar.c.Sprint1: Un primo prototipo: il RadarSystem con dispositivi simulati in ambiente locale e un suo (integration)Test.Deployment e sperimentazione RadarSystem con dispositivi simulati sul RaspberryPi.Sperimentazione del RadarSystem con dispositivi concreti sul RaspberryPi.";"180";"Lab2";""
"17/03/2022";"12";"00";"Costruzione di un supporto alle comunicazioni basato su TCP: il progetto it.unibo.comm2022.Uso del supporto per realizzare due diverse configurazioni del RadarSystem:Sprint2: Dispostivi e Controller su RaspberryPi | RadarDisplay su PCSprint2a: Dispostivi su RaspberryPi | Contoller + RadarDisplay su PC";"120";"Lab2";""
"22/03/2022";"09";"00";"Lezione non tenuta per Lauree. Ricevimento studenti online.";"0";"Lab2";""
"24/03/2022";"12";"00";"Aggiunta del protocollo UDP nel progetto it.unibo.comm2022Problema: accendere/spegnere il Led su RaspberryPi usando TCP o UDP e un programma Python (con Jupyter)Sprint3: Abilitatori di comunicazioneIntroduzione al concetto di contesto";"120";"Lab2";""
